county,fips,Booker,Buttigieg,Castro,Delaney,Gabbard,Gillibrand,Harris,Hickenlooper,Inslee,Klobuchar,Messam,O'Rourke,Sanders,Trump,Warren,Williamson,Yang
ABBEVILLE,45001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1027.5,NA,NA,NA
ACADIA,22001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4730.389999999999,NA,NA,NA
ACCOMACK,51001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453.42,NA,NA,NA
ADA,16001,200,3200,NA,500,NA,NA,NA,NA,500,NA,NA,1510.6,2330.55,59706.84,1290.8600000000001,NA,1471.73
ADAIR,21001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2269.25,NA,NA,NA
ADAIR,29001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6522.4,NA,NA,1
ADAIR,40001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,981.75,NA,NA,NA
ADAMS,08001,268,NA,6000,NA,201,250,1224.12,2270,NA,NA,NA,916.29,879,30187.91,1076.95,NA,1283
ADAMS,17001,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5944.37,NA,NA,NA
ADAMS,18001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2845.2799999999997,NA,NA,NA
ADAMS,19003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,NA,NA,NA
ADAMS,28001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2069.27,500,NA,NA
ADAMS,31001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3042.75,NA,NA,NA
ADAMS,39001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227,1893.11,NA,NA,NA
ADAMS,42001,NA,NA,NA,NA,NA,NA,250,NA,NA,250,NA,NA,NA,5367.93,470,NA,NA
ADAMS,53001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657.3,NA,NA,NA
ADAMS,55001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.25,NA,NA,NA
ADDISON,50001,NA,NA,NA,NA,NA,3700,NA,NA,NA,NA,NA,250,1466,3044.25,425,NA,NA
AGUADILLA,72005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA
AIKEN,45003,13,1000,NA,NA,NA,NA,NA,NA,NA,2700,NA,3990,408,16953.53,NA,NA,NA
AITKIN,27001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1013,NA,NA,NA
ALACHUA,12001,394,5975,NA,NA,NA,NA,1760,NA,NA,250,1000,1342.8,3945.5,36055.89,987,NA,22
ALAMANCE,37001,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,322,22043.38,750,NA,NA
ALAMEDA,06001,48433.03,22807,37817.15,7825,70982.93,19815.53,350789.87,9564.1,14572.95,28617.15,NA,23381.85,90935.2,116607.98,44188.06,9410,21247.91
ALAMOSA,08003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1613.15,NA,NA,3
ALBANY,36001,NA,559,NA,NA,NA,13600,3794.49,NA,NA,250,NA,945,6475.98,23474.75,570,275,522
ALBANY,56001,NA,NA,NA,NA,NA,NA,850,NA,NA,NA,NA,NA,NA,2319.72,NA,NA,NA
ALBEMARLE,51003,160,2700,NA,NA,250,NA,2700,NA,NA,250,NA,2800,1155,16768.43,1500,540,1011
ALCONA,26001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1471.93,NA,NA,NA
ALCORN,28003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2422.59,NA,NA,NA
ALEUTIANS WEST,02016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA
ALEXANDER,17003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA
ALEXANDER,37003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210.02,3761.63,NA,NA,NA
