lastname,contributor_zip5,sumcontribs,city,state,county,state_fips,county_fips,latitude,longitude,fips
Booker,00001,1000,NA,NA,NA,NA,NA,NA,NA,NANA
Booker,00907,8100,SAN JUAN,PR,SAN JUAN,72,127,18.451852,-66.084976,72127
Booker,00927,2800,SAN JUAN,PR,SAN JUAN,72,127,18.38759,-66.072006,72127
Booker,01002,350,AMHERST,MA,HAMPSHIRE,25,015,42.372901,-72.450902,25015
Booker,01223,382.18,BECKET,MA,BERKSHIRE,25,003,42.324078,-73.130876,25003
Booker,01230,30,GREAT BARRINGTON,MA,BERKSHIRE,25,003,42.171162,-73.330261,25003
Booker,01570,100,WEBSTER,MA,WORCESTER,25,027,42.058201,-71.848067,25027
Booker,01776,100,SUDBURY,MA,MIDDLESEX,25,017,42.388828,-71.42304,25017
Booker,01834,100,GROVELAND,MA,ESSEX,25,009,42.75092,-71.009929,25009
Booker,01906,5600,SAUGUS,MA,ESSEX,25,009,42.467474,-71.012852,25009
Booker,01950,550,NEWBURYPORT,MA,ESSEX,25,009,42.81423,-70.874524,25009
Booker,02045,500,HULL,MA,PLYMOUTH,25,023,42.284262,-70.888204,25023
Booker,02108,5400,BOSTON,MA,SUFFOLK,25,025,42.357322,-71.0645,25025
Booker,02111,10800,BOSTON,MA,SUFFOLK,25,025,42.350274,-71.058768,25025
Booker,02114,5600,BOSTON,MA,SUFFOLK,25,025,42.36225,-71.067337,25025
Booker,02118,2800,BOSTON,MA,SUFFOLK,25,025,42.337039,-71.072034,25025
Booker,02129,5600,CHARLESTOWN,MA,SUFFOLK,25,025,42.38168,-71.064086,25025
Booker,02138,2850,CAMBRIDGE,MA,MIDDLESEX,25,017,42.380054,-71.132952,25017
Booker,02140,285,CAMBRIDGE,MA,MIDDLESEX,25,017,42.393254,-71.13454,25017
Booker,02150,5600,CHELSEA,MA,SUFFOLK,25,025,42.39959,-71.03156,25025
Booker,02446,10,BROOKLINE,MA,NORFOLK,25,021,42.343335,-71.122762,25021
Booker,02459,250,NEWTON CENTER,MA,MIDDLESEX,25,017,42.312221,-71.1947,25017
Booker,02468,500,WABAN,MA,MIDDLESEX,25,017,42.326539,-71.231852,25017
Booker,02472,100,WATERTOWN,MA,MIDDLESEX,25,017,42.372094,-71.178567,25017
Booker,02482,250,WELLESLEY,MA,NORFOLK,25,021,42.2935,-71.299285,25021
Booker,02492,500,NEEDHAM,MA,NORFOLK,25,021,42.277716,-71.244942,25021
Booker,02554,250,NANTUCKET,MA,NANTUCKET,25,019,41.315734,-70.119656,25019
Booker,02557,125,OAK BLUFFS,MA,DUKES,25,007,41.4451,-70.5647,25007
Booker,02559,300,POCASSET,MA,BARNSTABLE,25,001,41.687945,-70.622408,25001
Booker,02648,29.5,MARSTONS MILLS,MA,BARNSTABLE,25,001,41.670439,-70.413412,25001
Booker,02809,1000,BRISTOL,RI,BRISTOL,44,001,41.678546,-71.271001,44001
Booker,02835,1500,JAMESTOWN,RI,NEWPORT,44,005,41.511087,-71.371733,44005
Booker,02840,1500,NEWPORT,RI,NEWPORT,44,005,41.485043,-71.32447,44005
Booker,02882,250,NARRAGANSETT,RI,WASHINGTON,44,009,41.426821,-71.46619,44009
Booker,02906,250,PROVIDENCE,RI,PROVIDENCE,44,007,41.83815,-71.393139,44007
Booker,02915,250,RIVERSIDE,RI,PROVIDENCE,44,007,41.776856,-71.350262,44007
Booker,03045,250,GOFFSTOWN,NH,HILLSBOROUGH,33,011,43.020926,-71.570426,33011
Booker,03070,250,NEW BOSTON,NH,HILLSBOROUGH,33,011,42.975939,-71.681414,33011
Booker,03104,250,MANCHESTER,NH,HILLSBOROUGH,33,011,43.015401,-71.436151,33011
Booker,03257,250,NEW LONDON,NH,MERRIMACK,33,013,43.420142,-71.985132,33013
Booker,03301,2450,CONCORD,NH,MERRIMACK,33,013,43.230539,-71.547977,33013
Booker,03745,200,CORNISH,NH,SULLIVAN,33,019,43.472002,-72.32827,33019
Booker,03755,2800,HANOVER,NH,GRAFTON,33,009,43.716069,-72.197482,33009
Booker,03781,665,PLAINFIELD,NH,SULLIVAN,33,019,43.536563,-72.28353,33019
Booker,03818,545,CONWAY,NH,CARROLL,33,003,43.966632,-71.236342,33003
Booker,03906,220,NORTH BERWICK,ME,YORK,23,031,43.343302,-70.783915,23031
Booker,04103,800,PORTLAND,ME,CUMBERLAND,23,005,43.693689,-70.290406,23005
Booker,04579,100,WOOLWICH,ME,SAGADAHOC,23,023,43.954452,-69.771204,23023
Booker,05450,300,ENOSBURG FALLS,VT,FRANKLIN,50,011,44.897955,-72.794758,50011
Booker,05763,819.94,PITTSFORD,VT,RUTLAND,50,021,43.742296,-72.998026,50021
Booker,05819,250,SAINT JOHNSBURY,VT,CALEDONIA,50,005,44.423148,-71.968914,50005
Booker,06001,100,AVON,CT,HARTFORD,09,003,41.79163,-72.854526,09003
Booker,06057,40,NEW HARTFORD,CT,LITCHFIELD,09,005,41.846708,-73.00754,09005
Booker,06105,2700,HARTFORD,CT,HARTFORD,09,003,41.77607,-72.700117,09003
Booker,06111,250,NEWINGTON,CT,HARTFORD,09,003,41.685889,-72.731474,09003
Booker,06268,194,STORRS MANSFIELD,CT,TOLLAND,09,013,41.791216,-72.252081,09013
