contributor_zip5,Biden,Buttigieg,Harris,Sanders,Warren
00010,,,105,,
00018,,,250,,
00021,,,250,,
00052,,,250,,
00072,,,2700,,
00109,,,500,,
00113,,,2700,,
00117,,,500,,
00160,,,,2700,
00200,,,375,,
00424,,,25,,
00602,,63,,,
00631,,,,221.5,
00646,,,1000,27,150
00659,,,,189,
00674,,,,228,
00677,,,,18.1,
00682,,,,227,
00683,,,,27,
00698,,,,50,
00713,,,500,,
00718,,,,285,
00719,,,,250,
00726,,,525,,
00730,,,,312.9,
00736,,,,27,
00738,,335,,,
00757,,,,45,
00771,,,,190.4,120
00775,,,,118,490
00778,,,,,200
00780,,1000,,,
00791,,,,60,
00792,,,1000,,
00801,,,,555,
00802,,1903,619.07,931,
00803,500,,150,81,
00804,,3700,,,200
00820,250,,250,100,400
00830,,,,811,
00831,,225,,737,
00840,,,,2700,
00901,2500,,,445,2000
00902,,,,,100
00907,3550,500,5400,733.7,
00908,,100,,41.7,
00911,,2460,,1147,2800
00913,,250,,,
00915,,,,100,250
00917,369,,,1498,
00918,2800,,,1006.44,175
00919,,58.99,,,125
00920,,50,,,
00921,,,,894.4,
00923,,,2700,,94.62
00926,,,,1834,250
00927,,,,398.8,
00929,500,,,,
00931,,,,584,
00936,100,,,272.8,675
00959,,,,47.5,
00961,,,,150,
00966,,1250,217.85,258,
00968,,300,,1133,500
00976,,,,27,
00978,,,,150,
00979,,,,568.5,
00985,,,,171,
01001,175,,,100,959.42
01002,1769,1814.05,2043.15,18385.56,26171.85
01004,,,,27,300
01005,,,75,1664.18,
01007,725,100,,1063,3168.52
01010,,,135,,227.42
01011,,,,,50
01012,,,200,,125
01013,,,,93,
01020,,,,857.7,940
01022,,,,107,
01026,,,250,624,
01027,,643,492.04,708.09,5775.85
01028,200,731,,663.03,504.58
01030,,,500,270,1213.82
01032,,,,60,250
01033,,,,140,178
01034,,100,,62.7,1063.2
01035,50,395,,1313.6,458
01036,200,,,,75
01037,,,,122,
01038,,,,1240,
01039,212,,623.09,100,4833.77
01040,,64,250,1384.7,3290.59
01050,,,,709.28,150
01053,,,,5243.06,525
01054,250,3276.13,1325,4572.94,6960.42
01056,,300,,3687,859.58
01057,15,,,104,60
01060,1415,1050,1613,7300.94,29068.49
01061,3200,,,250,750
01062,397.05,4303,1570.97,1728.55,4938.35
01068,,,,,515
01069,,,,50,-30
01070,,,,421,1783.82
01072,,,160,3206,1435.06
01073,50,25,,657.7,100
01075,555,201.05,250,550.1,5318.68
01077,5475,,,331,80
01080,,,,312,
01082,165,,,144.18,315
01083,,,,70,313.9
01084,,,,25,
01085,25,170,,367,1400
01089,,,175,549.9,2624.17
01092,,,,146.18,
01093,,,,601,470
01095,,1006,250,547.18,246
01096,,250,,1801.7,1291.5
01098,,,,,583.82
01103,,8,,50,
01104,,,,200,
01105,20,,,269.2,150
01106,1725,3665,520.2,1174.89,4782.5
01107,,,,254,150
01108,1425,,204.59,92.7,4352.64
01109,,,,106.35,1300
01111,,,,108,
01118,,,,186.52,2455
01119,,,170,245.5,943
01128,,10,,,
01129,,,,366,
01151,,,,261.92,1509.5
01201,850,543.05,,6750.3,6431.57
01202,,200.6,,100,
01220,,,,526,75
01222,,,,,225
01223,,,,304,3125
01226,,,,322,300
01227,,,,50,
01230,1050,3053.22,3085.04,1005,10678.67
01235,693.95,235,,,
01236,,,250,500,1465.19
01237,,,,1016.94,375
01238,,,,122,1255.42
01240,1600,2075,,7391.05,3058
01242,,,50,,
01243,,,,,1889.89
01244,,534.91,,,
01245,,250,,450.7,500
01247,250,46,,498.5,278.83
01253,,825,150,,
01254,,890.31,1225,293.7,1626.9
01255,,,,,220
01257,750,375,,314,1429.42
01258,,1200,,101,1500
01259,,300,,,270
01262,220.5,,135,101,
01264,,,,300,1431.52
01266,250,55,,1087.14,978
01267,718,175,250,709.7,13391.91
01275,,,350,,
01301,10,130,425,6458.39,2168
01302,,,,642,
01330,,958.4,250,1545.9,500
01331,125,350,,,172
01337,,,,50,888.9
01338,,250,,,
01339,,,,156.7,2118.85
01340,,250,,186.3,
01341,25,119.36,,392,3100
01342,,,545,101.7,
01344,,,,662.4,
01346,215,,,,
01347,,,,361,
01349,,,,,433
01351,,,,5350.1,2308.82
01354,,,,1052.4,
01360,,225,,108,1250
01364,,,,145.67,75
01366,,236.18,,1536.25,1030
01367,,,,81,
01368,,60,,,
01370,150,25,,542,1515
01373,287.5,,1800,1731.4,2290
01375,,,73.15,,675
01376,,,270,736.14,666.3
01378,,,,479.18,
01379,1500,,,378,660
01420,,100,400,496,1607.5
01430,,,,3191.78,250
01431,250,,,283,
01432,,,75,1633.4,600
01436,,,1212.21,401,
01440,,,,206.79,552.35
01450,600,2750,1819.07,727.68,1581.42
01451,1635,8536.09,905,1255,5313.98
01452,,60,,,
01453,,50,75,1603.39,2789.4
01460,,138.23,1363,217.9,1708.19
01462,,,60,364,515
01463,,250,,33,2422.4
01464,,,,734.18,847.66
01468,,,,,875
01469,95,350,,46,
01473,,,,401.2,413
01474,,,,260,
01475,122.53,130,,302.34,
01501,500,,400,441.69,100
01503,,,,,959.08
01504,,,,,151.58
01505,21,,,162,275
01507,,,,471.4,1148.61
01510,800,250,470,,355
01516,,100,175,992,
01518,,,,70.18,250
01519,75,,100,1048.94,
01520,,70,112.91,507,1583.82
01521,,,,27,195
01522,,,200,304.7,
01523,371,,,806.9,125
01524,,,,277,
01527,,305,,648,734
01529,,,,,692.42
01531,,,,684.94,950
01532,,3031.62,950,1645.3,2288.82
01534,,,,529,
01536,,,500,622.96,777.19
01540,,,50,,82
01541,,35,,,238.9
01542,,,,,1010
01543,,300,,381,274
01545,25,225,930,2426.14,6076.58
01550,,,,431,
01561,,473.39,,,
01562,750,82.09,,596.8,385
01564,153,,,636.4,200
01566,,,433.67,612,750
01568,,234.05,,1661.7,160
01569,,3241.73,405.5,658,200
01570,350,360,100,391.8,1059.55
01571,,,,42,285
01581,,600,92.58,3263.79,1924.82
01583,,350,,310.8,965
01585,,,,,160
01588,,,,1214.95,758.18
01590,,,,81,400
01602,2800,,,1825.74,2365.42
01603,144,,,554.4,105
01604,423.4,,,724.6,1562.24
01605,,1353.05,,3044,2011.92
01606,,75,,1890.52,1397.61
01607,,,,27,
01608,,,,150,
01609,500,815,1375,1590.2,1925
01610,,650,,529.45,400
01611,,,,,1100
01612,355.82,,,229.4,
01613,,,,552,
