zipcode,city,state,state_fips,latitude,longitude,Booker,Buttigieg,Castro,Delaney,Gabbard,Gillibrand,Harris,Hickenlooper,Inslee,Klobuchar,Messam,O'Rourke,Ryan,Sanders,Trump,Warren,Williamson,Yang,county,county_fips
90002,LOS ANGELES,CA,06,33.949009,-118.245976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,3,LOS ANGELES,037
90003,LOS ANGELES,CA,06,33.964032,-118.273705,NA,NA,NA,NA,NA,NA,2800,NA,NA,NA,NA,348.94,NA,NA,914.25,NA,NA,NA,LOS ANGELES,037
90004,LOS ANGELES,CA,06,34.076067,-118.310767,1000,2700,500,NA,NA,800,41105,500,260,2350,NA,2486.59,NA,3410.56,4477.15,4031,1100,70,LOS ANGELES,037
90005,LOS ANGELES,CA,06,34.058384,-118.311342,NA,100,NA,NA,NA,500,2250,NA,NA,NA,NA,NA,NA,NA,571.3,350,600,1,LOS ANGELES,037
90006,LOS ANGELES,CA,06,34.047604,-118.292271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,714,NA,NA,NA,LOS ANGELES,037
90007,LOS ANGELES,CA,06,34.02654,-118.282786,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,151,98.25,NA,NA,NA,LOS ANGELES,037
90008,LOS ANGELES,CA,06,34.006924,-118.345668,NA,NA,NA,NA,NA,NA,13270,NA,NA,225,NA,NA,NA,374,225,NA,NA,50,LOS ANGELES,037
90009,LOS ANGELES,CA,06,34.0522,-118.2425,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,LOS ANGELES,037
90010,LOS ANGELES,CA,06,34.063288,-118.312069,NA,NA,NA,NA,250,NA,15082.73,NA,NA,NA,NA,NA,NA,NA,NA,282.5,500,NA,LOS ANGELES,037
90011,LOS ANGELES,CA,06,34.009842,-118.258642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238.81,NA,NA,NA,LOS ANGELES,037
90012,LOS ANGELES,CA,06,34.065549,-118.24054,NA,NA,NA,NA,NA,NA,3300,NA,NA,NA,NA,691.79,NA,1951.92,7927.75,NA,NA,3010,LOS ANGELES,037
90013,LOS ANGELES,CA,06,34.045639,-118.241644,1000,NA,NA,NA,NA,NA,9327.72,NA,NA,250,NA,NA,NA,451,195.5,NA,2800,NA,LOS ANGELES,037
90014,LOS ANGELES,CA,06,34.043027,-118.252267,NA,NA,NA,NA,NA,NA,27610,NA,NA,NA,NA,500,NA,135,NA,350,NA,NA,LOS ANGELES,037
90015,LOS ANGELES,CA,06,34.040499,-118.267022,NA,NA,NA,NA,NA,500,5850,500,NA,1250,NA,250.99,NA,250,218.82999999999998,NA,NA,NA,LOS ANGELES,037
90016,LOS ANGELES,CA,06,34.029034,-118.357757,NA,NA,NA,NA,NA,NA,6550,NA,NA,NA,NA,NA,NA,505,28,500,NA,150,LOS ANGELES,037
90017,LOS ANGELES,CA,06,34.05285,-118.264858,1000,2500,NA,NA,NA,NA,9700,NA,NA,2800,NA,500,NA,150,6493,1293.37,NA,510,LOS ANGELES,037
