lastname,filer_committee_id_number,contributor_zip5,sumcontribs,city,state,county,state_fips,county_fips,latitude,longitude,fips,num_returns,total_agi_value,avg_agi,avg_agi_rank
Biden,C00703975,29401,26585,CHARLESTON,SC,CHARLESTON,45,019,32.777596,-79.941923,45019,3970,1009958,254397.48110831235,263
Biden,C00703975,89135,21250,LAS VEGAS,NV,CLARK,32,003,36.12114,-115.350771,32003,14050,2662112,189474.16370106762,488
Biden,C00703975,29482,20056.239999999998,SULLIVANS ISLAND,SC,CHARLESTON,45,019,32.76455,-79.839568,45019,1030,353763,343459.22330097086,126
Biden,C00703975,29464,18351,MOUNT PLEASANT,SC,CHARLESTON,45,019,32.821494,-79.852362,45019,25160,2881334,114520.4292527822,1576
Biden,C00703975,89109,18159,LAS VEGAS,NV,CLARK,32,003,36.122508,-115.158589,32003,3570,693807,194343.6974789916,459
Biden,C00703975,89117,18118,LAS VEGAS,NV,CLARK,32,003,36.142384,-115.279341,32003,27990,2242508,80118.18506609504,3945
Biden,C00703975,89144,16500,LAS VEGAS,NV,CLARK,32,003,36.177022,-115.314718,32003,8860,1150277,129828.10383747179,1187
Biden,C00703975,29455,12450,JOHNS ISLAND,SC,CHARLESTON,45,019,32.718663,-80.098045,45019,11760,1281149,108941.24149659864,1782
Biden,C00703975,89128,11505,LAS VEGAS,NV,CLARK,32,003,36.197963,-115.265816,32003,17690,954052,53931.71283210854,12465
Biden,C00703975,89107,11230,LAS VEGAS,NV,CLARK,32,003,36.170153,-115.208648,32003,17180,917078,53380.55878928987,12872
Biden,C00703975,89052,10475,HENDERSON,NV,CLARK,32,003,35.981602,-115.113204,32003,26150,3215600,122967.49521988528,1341
Biden,C00703975,89145,9700,LAS VEGAS,NV,CLARK,32,003,36.170189,-115.283822,32003,12150,1672335,137640.74074074073,1030
Biden,C00703975,89119,9602,LAS VEGAS,NV,CLARK,32,003,36.089547,-115.149607,32003,21640,821840,37977.818853974124,26084
Biden,C00703975,50266,9468,WEST DES MOINES,IA,POLK,19,153,41.559852,-93.785641,19153,16750,1584655,94606.26865671642,2568
Biden,C00703975,29715,9201,FORT MILL,SC,YORK,45,091,35.022587,-80.926208,45091,15000,1261444,84096.26666666666,3463
Biden,C00703975,29407,8483,CHARLESTON,SC,CHARLESTON,45,019,32.801241,-79.99479,45019,18390,1314843,71497.71615008157,5368
Biden,C00703975,29466,8398,MOUNT PLEASANT,SC,CHARLESTON,45,019,32.861784,-79.795762,45019,16890,1928023,114151.74659561871,1587
Biden,C00703975,89147,8056,LAS VEGAS,NV,CLARK,32,003,36.11208,-115.279047,32003,26570,1323449,49809.89838163342,15755
Biden,C00703975,50261,6800,VAN METER,IA,DALLAS,19,049,41.46721,-93.937584,19049,1170,114142,97557.26495726497,2400
Biden,C00703975,89102,5950,LAS VEGAS,NV,CLARK,32,003,36.142723,-115.180873,32003,15950,720011,45141.755485893416,20116
Biden,C00703975,03862,5924,NORTH HAMPTON,NH,ROCKINGHAM,33,015,42.979401,-70.829484,33015,2660,419948,157875.18796992482,744
Biden,C00703975,89131,5790,LAS VEGAS,NV,CLARK,32,003,36.305996,-115.246109,32003,21280,1750732,82271.24060150376,3689
Biden,C00703975,29730,5740,ROCK HILL,SC,YORK,45,091,34.885711,-81.020911,45091,24980,1093511,43775.46036829464,21401
Biden,C00703975,89423,5575,MINDEN,NV,DOUGLAS,32,005,38.977004,-119.578285,32005,6010,464768,77332.4459234609,4328
Biden,C00703975,03053,5526,LONDONDERRY,NH,ROCKINGHAM,33,015,42.873066,-71.390857,33015,13040,1081718,82953.83435582822,3603
Biden,C00703975,29732,4900,ROCK HILL,SC,YORK,45,091,34.965936,-81.077579,45091,27340,1693017,61924.54279444038,8159
Biden,C00703975,03878,4860.5,SOMERSWORTH,NH,STRAFFORD,33,017,43.255458,-70.882996,33017,6340,320571,50563.249211356466,15150
Biden,C00703975,89146,4800,LAS VEGAS,NV,CLARK,32,003,36.142398,-115.22485,32003,9050,448895,49601.65745856354,15946
Biden,C00703975,29412,4781,CHARLESTON,SC,CHARLESTON,45,019,32.703819,-79.943079,45019,20000,1499632,74981.6,4734
Biden,C00703975,89134,4750,LAS VEGAS,NV,CLARK,32,003,36.197818,-115.310378,32003,12910,1949489,151006.11928737414,826
Biden,C00703975,29605,4568,GREENVILLE,SC,GREENVILLE,45,045,34.777078,-82.377576,45045,15700,1175591,74878.40764331211,4752
Biden,C00703975,89148,4353.3,LAS VEGAS,NV,CLARK,32,003,36.060255,-115.297232,32003,25150,1731963,68865.32803180914,6001
Biden,C00703975,89113,4310,LAS VEGAS,NV,CLARK,32,003,36.060082,-115.26444,32003,15650,1243732,79471.69329073482,4040
Biden,C00703975,89012,4075,HENDERSON,NV,CLARK,32,003,36.008494,-115.039983,32003,16030,1780769,111089.76918278227,1688
Biden,C00703975,29928,4070,HILTON HEAD ISLAND,SC,BEAUFORT,45,013,32.172838,-80.748747,45013,8170,1181118,144567.68665850675,908
Biden,C00703975,50309,4000,DES MOINES,IA,POLK,19,153,41.584779,-93.620799,19153,4110,260800,63454.98783454987,7571
Biden,C00703975,29205,3730,COLUMBIA,SC,RICHLAND,45,079,33.986024,-80.997468,45079,10430,884746,84827.03739213807,3381
Biden,C00703975,89129,3545,LAS VEGAS,NV,CLARK,32,003,36.231018,-115.290188,32003,24960,1598927,64059.57532051282,7382
Biden,C00703975,50265,3507.03,WEST DES MOINES,IA,POLK,19,153,41.559734,-93.737968,19153,16480,1423849,86398.60436893204,3220
Biden,C00703975,89108,3215,LAS VEGAS,NV,CLARK,32,003,36.21435,-115.213179,32003,31660,1139689,35997.75742261529,27185
Biden,C00703975,50310,3200,DES MOINES,IA,POLK,19,153,41.628966,-93.661708,19153,15650,825364,52738.91373801917,13327
Biden,C00703975,50312,3189,DES MOINES,IA,POLK,19,153,41.578518,-93.67965,19153,7680,761811,99194.140625,2292
Biden,C00703975,03226,3000,CENTER HARBOR,NH,BELKNAP,33,001,43.707722,-71.494429,33001,1120,123999,110713.39285714287,1700
Biden,C00703975,03848,2858,KINGSTON,NH,ROCKINGHAM,33,015,42.91035,-71.061621,33015,3420,244158,71391.22807017545,5386
Biden,C00703975,03079,2850,SALEM,NH,ROCKINGHAM,33,015,42.794954,-71.225568,33015,16000,1250833,78177.0625,4217
Biden,C00703975,29402,2850,CHARLESTON,SC,CHARLESTON,45,019,32.7765,-79.9312,45019,NA,NA,NA,NA
Biden,C00703975,29204,2800,COLUMBIA,SC,RICHLAND,45,079,34.030827,-81.001405,45079,8080,430884,53327.22772277228,12910
Biden,C00703975,29607,2800,GREENVILLE,SC,GREENVILLE,45,045,34.803774,-82.321517,45045,19340,1378009,71251.75801447777,5413
Biden,C00703975,89103,2800,LAS VEGAS,NV,CLARK,32,003,36.111646,-115.211941,32003,23950,1031363,43063.173277661794,22086
Biden,C00703975,89169,2800,LAS VEGAS,NV,CLARK,32,003,36.122534,-115.143863,32003,9600,476517,49637.1875,15915
Biden,C00703975,89141,2714,LAS VEGAS,NV,CLARK,32,003,35.990387,-115.211564,32003,14590,1483299,101665.45579163812,2150
Biden,C00703975,29909,2645,OKATIE,SC,BEAUFORT,45,013,32.327675,-80.893306,45013,10570,960905,90908.70387890255,2838
Biden,C00703975,29360,2500,LAURENS,SC,LAURENS,45,059,34.491862,-82.046562,45059,8610,365414,42440.650406504064,22661
Biden,C00703975,29492,2323,CHARLESTON,SC,BERKELEY,45,015,32.913122,-79.864033,45015,7480,1185345,158468.58288770053,731
Biden,C00703975,29356,2244,LANDRUM,SC,SPARTANBURG,45,083,35.131268,-82.251463,45083,3780,259387,68620.89947089947,6058
Biden,C00703975,50325,2148,CLIVE,IA,POLK,19,153,41.61034,-93.780847,19153,8580,978867,114087.06293706293,1589
Biden,C00703975,50311,2135,DES MOINES,IA,POLK,19,153,41.601575,-93.684418,19153,6150,302097,49121.46341463415,16407
Biden,C00703975,50321,2000,DES MOINES,IA,POLK,19,153,41.547144,-93.673198,19153,3870,323634,83626.3565891473,3516
Biden,C00703975,50322,1915,URBANDALE,IA,POLK,19,153,41.632963,-93.737316,19153,16230,1166460,71870.6099815157,5295
Biden,C00703975,29926,1858,HILTON HEAD ISLAND,SC,BEAUFORT,45,013,32.22204,-80.753069,45013,11750,1146088,97539.40425531915,2402
Biden,C00703975,89138,1650,LAS VEGAS,NV,CLARK,32,003,36.168458,-115.360754,32003,6890,913886,132639.47750362847,1125
Biden,C00703975,29403,1625,CHARLESTON,SC,CHARLESTON,45,019,32.800217,-79.942754,45019,9190,537574,58495.5386289445,9709
Biden,C00703975,89044,1609,HENDERSON,NV,CLARK,32,003,35.940321,-115.097277,32003,10330,1044003,101065.15004840272,2179
Biden,C00703975,89510,1538,RENO,NV,WASHOE,32,031,39.881942,-119.617604,32031,1620,126880,78320.98765432098,4197
Biden,C00703975,52002,1521,DUBUQUE,IA,DUBUQUE,19,061,42.526799,-90.790116,19061,7990,567336,71005.75719649563,5478
Biden,C00703975,29451,1500,ISLE OF PALMS,SC,CHARLESTON,45,019,32.814144,-79.755352,45019,2330,554938,238170.81545064377,300
