contributor_zip5,Biden,Buttigieg,Harris,Sanders,Warren
03031,947,610,,652,250
03032,,,,612,
03033,150,100,,,291.24
03034,74,,,118,
03036,,2813.1,,504,300
03037,,405,300,242,
03038,1025,50,,966.4,
03042,175,206.96,,377,
03043,,,55,630.64,
03044,,,,184,
03045,,,75,390,315
03046,22,250,,,150
03048,,100,,205,
03049,,431.65,,781.94,1204.33
03051,,,,537.7,
03052,,,,104,
03053,5526,,257.48,348.5,200
03054,169,225,105,185,381
03055,70,,,958.6800000000001,550
03057,,250,,127,
03060,320,250,75,1767.22,250
03061,,,,312,175
03062,65,,100,562,300
03063,,125,,1572.76,125
03064,343,210,75,167.5,250
03070,261,50,,231,
03071,,,,100,
03076,,,,150,
03077,,,,597.04,75
03079,2850,125,1000,338.22,281
03082,,,,81,
03084,,250,,54,
03086,,780,355,1091,1102.79
03087,164,350,1375,578.7,250
03101,,,205,494.18,
03102,,,,1844.56,299.58
03103,50,38,,1168.74,364.27
03104,320,2266.76,150,2294.35,1211.18
03106,,50,,167.7,
03109,65,659.7,,861.45,
03110,829.97,732.6,,481,789.71
03216,,,,296.7,
03217,232,,,436,
03220,,,,250,
03221,,,,1033.7,315.8
03222,,,,,250
03223,,500,,189,
03224,,,,895,
03226,3000,,,,
03227,,,1000,977.08,
03229,,962.5,,1081.58,2600
03231,250,,,,
03233,,50,,,230.42
03234,,,,,300
03235,,50,,,
03237,46,,62,,125
03240,,,,,250
03241,,225,,,100
03242,250,75,100,231.75,250
03244,,33,,687.42,
03245,,350,125,208,
03246,33,545,177.83,195,353
03247,,,525,,
03249,,,250,666.84,75
03251,,150,,150,
03253,,2800,,263.75,
03254,,,,634.08,
03257,55,150,500,47,800
03258,,275,,27,288
03260,,235,,,240
03261,,,,135,
03262,,,,300,
03264,,595,,720,150
03266,,,,370.18,63.9
03268,,,,224,
03269,,,,1052.4,250
03275,,,,181,
03276,,381,,582.18,113.82
03278,,,,160.35,
03279,,129.72,,427.7,
03280,,,50,55.4,
03281,,300,,1325.99,
03282,,,,36,
03284,483,,,,
03285,,200,,167.4,165
03287,,,,120,
03290,100,436.28,,81,101.5
03301,751,2601.68,500,4314.5,3274.58
03302,,50,,347.44,250
03303,500,,400,1373,358.58
03304,,90,219.14,1070.53,278
03431,94,476.05,50,1594.4,400.98
03440,,,,27,37.5
03442,1000,,,,
03443,,325,,,
03444,250,,,,
03445,,,,157,
03446,,,300,,
03447,,,,,159.79
03448,,100,,,
03449,,1656.1,500,207.4,1350
03450,500,144.16,,,
03452,17,25,,127.1,300
03455,,100,,,143
03457,143,50,,156.4,100
03458,155,800,180,2161.58,550
03461,,30,,,543.38
03462,,100,,1554,500
03465,,250,,,
03466,,,50,177,350
03467,,,,54,
03470,100,81.68,,,250
03561,228,,,737,60
03570,,,215,304.7,200
03574,,226,,713.5,275
03579,,,50,,
03580,910,250,250,52,1164.42
03583,,,,150,
03584,,300,,454,
03588,,,,7,100
03593,,,,,425
03597,,,,40,
03598,,,,619.98,373.32
03601,,,148.74,,
03602,,75,,54,
03603,,34,,2377,
03607,,,150,,150
03608,,556.68,,,500
03609,,,,162,
03741,,300,,476.74,506
03743,,,70,1039.88,20
03745,,225,,76.21000000000001,
03746,,,,154,
