contributor_zip5,city,n
29455,JOHNS ISLAND,4
89135,LAS VEGAS,3
03301,CONCORD,2
03755,HANOVER,2
29464,MOUNT PLEASANT,2
52240,IOWA CITY,2
52245,IOWA CITY,2
52246,IOWA CITY,2
89052,HENDERSON,2
03036,CHESTER,1
03229,CONTOOCOOK,1
03253,MEREDITH,1
03782,SUNAPEE,1
03801,PORTSMOUTH,1
03820,DOVER,1
03833,EXETER,1
03854,NEW CASTLE,1
29016,BLYTHEWOOD,1
29042,DENMARK,1
29401,CHARLESTON,1
29482,SULLIVANS ISLAND,1
29502,FLORENCE,1
29588,MYRTLE BEACH,1
29710,CLOVER,1
29801,AIKEN,1
29909,OKATIE,1
52403,CEDAR RAPIDS,1
89074,HENDERSON,1
89107,LAS VEGAS,1
89109,LAS VEGAS,1
89113,LAS VEGAS,1
89117,LAS VEGAS,1
89128,LAS VEGAS,1
89144,LAS VEGAS,1
89147,LAS VEGAS,1
89149,LAS VEGAS,1
89178,LAS VEGAS,1
89509,RENO,1
