contributor_zip5,Sanders,Warren,winner,advantage,city,state,county,state_fips,county_fips,latitude,longitude
03820,6117.5,606,Sanders,5511.5,DOVER,NH,STRAFFORD,33,017,43.187031,-70.89452
89052,4867.4,3847.2,Sanders,1020.1999999999998,HENDERSON,NV,CLARK,32,003,35.981602,-115.113204
52246,4839.99,2227.8,Sanders,2612.1899999999996,IOWA CITY,IA,JOHNSON,19,103,41.651269,-91.609741
52403,4544.56,994.8199999999999,Sanders,3549.7400000000007,CEDAR RAPIDS,IA,LINN,19,113,41.973311,-91.576922
03301,4314.5,3274.58,Sanders,1039.92,CONCORD,NH,MERRIMACK,33,013,43.230539,-71.547977
89509,4211.74,2351.17,Sanders,1860.5699999999997,RENO,NV,WASHOE,32,031,39.497002,-119.828246
89178,3762,100,Sanders,3662,LAS VEGAS,NV,CLARK,32,003,36.026015,-115.280108
89149,3564.41,618.83,Sanders,2945.58,LAS VEGAS,NV,CLARK,32,003,36.27865,-115.286877
89147,3473.74,0,Sanders,3473.74,LAS VEGAS,NV,CLARK,32,003,36.11208,-115.279047
52240,3379.49,1439.66,Sanders,1939.8299999999997,IOWA CITY,IA,JOHNSON,19,103,41.642647,-91.541636
29229,3103.99,210.2,Sanders,2893.79,COLUMBIA,SC,RICHLAND,45,079,34.134982,-80.887256
03833,2982.7,2372.42,Sanders,610.2799999999997,EXETER,NH,ROCKINGHAM,33,015,42.961445,-70.987972
89135,2897,3384.19,Warren,487.19000000000005,LAS VEGAS,NV,CLARK,32,003,36.12114,-115.350771
89148,2834.6,478.99,Sanders,2355.6099999999997,LAS VEGAS,NV,CLARK,32,003,36.060255,-115.297232
52245,2827.19,2988.77,Warren,161.57999999999993,IOWA CITY,IA,JOHNSON,19,103,41.669005,-91.513853
29223,2770.09,225,Sanders,2545.09,COLUMBIA,SC,RICHLAND,45,079,34.063004,-80.85323
29072,2765.28,475,Sanders,2290.28,LEXINGTON,SC,LEXINGTON,45,063,33.988267,-81.283744
89014,2703.58,500,Sanders,2203.58,HENDERSON,NV,CLARK,32,003,36.058827,-115.057395
89146,2627.71,2320,Sanders,307.71000000000004,LAS VEGAS,NV,CLARK,32,003,36.142398,-115.22485
52556,2626.3,1103,Sanders,1523.3000000000002,FAIRFIELD,IA,JEFFERSON,19,101,41.024981,-91.921848
03801,2553.02,1375,Sanders,1178.02,PORTSMOUTH,NH,ROCKINGHAM,33,015,43.067485,-70.799837
50322,2428.38,141.93,Sanders,2286.4500000000003,URBANDALE,IA,POLK,19,153,41.632963,-93.737316
89118,2412.4,363,Sanders,2049.4,LAS VEGAS,NV,CLARK,32,003,36.0784,-115.21193
89128,2384.68,350,Sanders,2034.6799999999998,LAS VEGAS,NV,CLARK,32,003,36.197963,-115.265816
03603,2377,0,Sanders,2377,CHARLESTOWN,NH,SULLIVAN,33,019,43.247994,-72.376191
89123,2357.89,104,Sanders,2253.89,LAS VEGAS,NV,CLARK,32,003,36.035396,-115.149548
89074,2337.87,690,Sanders,1647.87,HENDERSON,NV,CLARK,32,003,36.031252,-115.073868
89119,2302.62,108,Sanders,2194.62,LAS VEGAS,NV,CLARK,32,003,36.089547,-115.149607
03104,2294.35,1211.18,Sanders,1083.1699999999998,MANCHESTER,NH,HILLSBOROUGH,33,011,43.015401,-71.436151
29464,2272.2,1142.14,Sanders,1130.0599999999997,MOUNT PLEASANT,SC,CHARLESTON,45,019,32.821494,-79.852362
89103,2237.07,425.2,Sanders,1811.8700000000001,LAS VEGAS,NV,CLARK,32,003,36.111646,-115.211941
89129,2230.79,882.5,Sanders,1348.29,LAS VEGAS,NV,CLARK,32,003,36.231018,-115.290188
29630,2200.47,0,Sanders,2200.47,CENTRAL,SC,PICKENS,45,077,34.733401,-82.797098
03458,2161.58,550,Sanders,1611.58,PETERBOROUGH,NH,HILLSBOROUGH,33,011,42.875234,-71.93973
29928,2061,1093.31,Sanders,967.69,HILTON HEAD ISLAND,SC,BEAUFORT,45,013,32.172838,-80.748747
29407,2060.31,560,Sanders,1500.31,CHARLESTON,SC,CHARLESTON,45,019,32.801241,-79.99479
29671,1998.8,110,Sanders,1888.8,PICKENS,SC,PICKENS,45,077,34.934924,-82.713315
52001,1954.91,105,Sanders,1849.91,DUBUQUE,IA,DUBUQUE,19,061,42.558964,-90.696098
52501,1887,0,Sanders,1887,OTTUMWA,IA,WAPELLO,19,179,41.030568,-92.411704
50309,1885.95,147.32,Sanders,1738.63,DES MOINES,IA,POLK,19,153,41.584779,-93.620799
89134,1880.9,1528,Sanders,352.9000000000001,LAS VEGAS,NV,CLARK,32,003,36.197818,-115.310378
03102,1844.56,299.58,Sanders,1544.98,MANCHESTER,NH,HILLSBOROUGH,33,011,43.007972,-71.494555
