lastname,filer_committee_id_number,contributor_zip5,sumcontribs,city,state,county,state_fips,county_fips,latitude,longitude,fips,num_returns,total_agi_value,avg_agi,avg_agi_rank
Biden,C00703975,10021,196094.35,NEW YORK,NY,NEW YORK,36,061,40.769831,-73.958514,36061,23530,10564411,448976.2430939227,74
Biden,C00703975,20815,166204.21,CHEVY CHASE,MD,MONTGOMERY,24,031,38.984212,-77.079106,24031,14570,3963811,272052.91695264244,223
Biden,C00703975,90049,159555,LOS ANGELES,CA,LOS ANGELES,06,037,34.086348,-118.48826,06037,18300,6403470,349916.39344262297,117
Biden,C00703975,10023,156148.42,NEW YORK,NY,NEW YORK,36,061,40.773726,-73.980067,36061,34070,11766656,345367.067801585,125
Biden,C00703975,10022,153990.53,NEW YORK,NY,NEW YORK,36,061,40.758346,-73.967997,36061,19840,10038198,505957.56048387097,51
Biden,C00703975,20854,151700.95,POTOMAC,MD,MONTGOMERY,24,031,39.024784,-77.246553,24031,22620,6606690,292072.94429708226,192
Biden,C00703975,10128,147983.15,NEW YORK,NY,NEW YORK,36,061,40.78154,-73.948758,36061,32950,10538542,319834.3550834598,154
Biden,C00703975,19807,146964.72,WILMINGTON,DE,NEW CASTLE,10,003,39.795501,-75.614412,10003,4230,1348892,318886.9976359338,156
Biden,C00703975,19103,145536.9,PHILADELPHIA,PA,PHILADELPHIA,42,101,39.953767,-75.176335,42101,13560,2667614,196726.69616519177,445
Biden,C00703975,10024,143232,NEW YORK,NY,NEW YORK,36,061,40.797364,-73.97785,36061,30410,9984610,328333.1141072016,147
Buttigieg,C00697441,10011,285073.22,NEW YORK,NY,NEW YORK,36,061,40.74406,-74.004592,36061,29920,7972017,266444.4184491979,232
Buttigieg,C00697441,10023,251816.39,NEW YORK,NY,NEW YORK,36,061,40.773726,-73.980067,36061,34070,11766656,345367.067801585,125
Buttigieg,C00697441,10021,203444.25,NEW YORK,NY,NEW YORK,36,061,40.769831,-73.958514,36061,23530,10564411,448976.2430939227,74
Buttigieg,C00697441,10024,200024.62,NEW YORK,NY,NEW YORK,36,061,40.797364,-73.97785,36061,30410,9984610,328333.1141072016,147
Buttigieg,C00697441,90069,191944.88,WEST HOLLYWOOD,CA,LOS ANGELES,06,037,34.094175,-118.38091,06037,13450,2188298,162698.73605947956,693
Buttigieg,C00697441,10003,186266.12,NEW YORK,NY,NEW YORK,36,061,40.731392,-73.9884,36061,28660,6622842,231083.11235170971,320
Buttigieg,C00697441,94114,182657.91,SAN FRANCISCO,CA,SAN FRANCISCO,06,075,37.758229,-122.439512,06075,20360,4324445,212399.06679764244,377
Buttigieg,C00697441,20009,170202.95,WASHINGTON,DC,DISTRICT OF COLUMBIA,11,001,38.920392,-77.038564,11001,31590,3120759,98789.45868945868,2326
Buttigieg,C00697441,60614,167323.25,CHICAGO,IL,COOK,17,031,41.922065,-87.649316,17031,35330,7836352,221804.4721200113,351
Buttigieg,C00697441,10013,165416.05,NEW YORK,NY,NEW YORK,36,061,40.720921,-74.008878,36061,14940,6301582,421792.63721552875,84
Harris,C00694455,90049,279824.48,LOS ANGELES,CA,LOS ANGELES,06,037,34.086348,-118.48826,06037,18300,6403470,349916.39344262297,117
Harris,C00694455,90210,260044.96,BEVERLY HILLS,CA,LOS ANGELES,06,037,34.103131,-118.416253,06037,9490,5739663,604811.6965226554,29
Harris,C00694455,94115,227112.08,SAN FRANCISCO,CA,SAN FRANCISCO,06,075,37.78597,-122.437262,06075,19500,4266982,218819.58974358975,356
Harris,C00694455,94118,204033.61,SAN FRANCISCO,CA,SAN FRANCISCO,06,075,37.782355,-122.460795,06075,21510,4722403,219544.53742445374,353
Harris,C00694455,90272,196705.84,PACIFIC PALISADES,CA,LOS ANGELES,06,037,34.078345,-118.5475,06037,10530,5299176,503245.5840455841,53
Harris,C00694455,90067,171335.97,LOS ANGELES,CA,LOS ANGELES,06,037,34.05775,-118.4138,06037,3360,2776759,826416.369047619,10
Harris,C00694455,10023,165850.54,NEW YORK,NY,NEW YORK,36,061,40.773726,-73.980067,36061,34070,11766656,345367.067801585,125
Harris,C00694455,10024,153703.99,NEW YORK,NY,NEW YORK,36,061,40.797364,-73.97785,36061,30410,9984610,328333.1141072016,147
Harris,C00694455,90402,152659.65,SANTA MONICA,CA,LOS ANGELES,06,037,34.035004,-118.502192,06037,5420,2680003,494465.4981549816,54
Harris,C00694455,90024,146511.53,LOS ANGELES,CA,LOS ANGELES,06,037,34.065677,-118.434088,06037,15130,5438295,359437.87177792465,109
Sanders,C00696948,94110,54144.45,SAN FRANCISCO,CA,SAN FRANCISCO,06,075,37.748676,-122.415813,06075,38770,4590850,118412.43229301006,1460
Sanders,C00696948,10025,41087.42,NEW YORK,NY,NEW YORK,36,061,40.798345,-73.963158,36061,45610,6826320,149667.1782503837,846
Sanders,C00696948,10024,39925.02,NEW YORK,NY,NEW YORK,36,061,40.797364,-73.97785,36061,30410,9984610,328333.1141072016,147
Sanders,C00696948,94611,39787.27,OAKLAND,CA,ALAMEDA,06,001,37.83611,-122.219253,06001,20720,4334172,209178.18532818533,394
Sanders,C00696948,94117,39618.36,SAN FRANCISCO,CA,SAN FRANCISCO,06,075,37.769165,-122.442497,06075,23140,3644629,157503.4140017286,748
Sanders,C00696948,98103,39458.38,SEATTLE,WA,KING,53,033,47.670294,-122.348306,53033,29390,3122868,106256.14154474312,1904
Sanders,C00696948,10003,37812.74,NEW YORK,NY,NEW YORK,36,061,40.731392,-73.9884,36061,28660,6622842,231083.11235170971,320
Sanders,C00696948,11201,35680.19,BROOKLYN,NY,KINGS,36,047,40.694599,-73.990638,36047,31970,6204145,194061.46387238035,461
Sanders,C00696948,11215,34401.99,BROOKLYN,NY,KINGS,36,047,40.66509,-73.980306,36047,32930,4521918,137319.10112359552,1038
Sanders,C00696948,10011,33583.21,NEW YORK,NY,NEW YORK,36,061,40.74406,-74.004592,36061,29920,7972017,266444.4184491979,232
Warren,C00693234,02138,149146.75,CAMBRIDGE,MA,MIDDLESEX,25,017,42.380054,-71.132952,25017,14990,2874981,191793.2621747832,474
Warren,C00693234,94110,103608.64,SAN FRANCISCO,CA,SAN FRANCISCO,06,075,37.748676,-122.415813,06075,38770,4590850,118412.43229301006,1460
Warren,C00693234,10011,101511.36,NEW YORK,NY,NEW YORK,36,061,40.74406,-74.004592,36061,29920,7972017,266444.4184491979,232
