contributor_zip5,city,n
10024,NEW YORK,4
10011,NEW YORK,3
10021,NEW YORK,3
10023,NEW YORK,3
10028,NEW YORK,3
10025,NEW YORK,2
10128,NEW YORK,2
11215,BROOKLYN,2
90210,BEVERLY HILLS,2
90272,PACIFIC PALISADES,2
94110,SAN FRANCISCO,2
02138,CAMBRIDGE,1
10003,NEW YORK,1
10013,NEW YORK,1
10014,NEW YORK,1
10022,NEW YORK,1
11201,BROOKLYN,1
11217,BROOKLYN,1
11238,BROOKLYN,1
14850,ITHACA,1
19971,REHOBOTH BEACH,1
20815,CHEVY CHASE,1
20854,POTOMAC,1
60611,CHICAGO,1
90049,LOS ANGELES,1
90266,MANHATTAN BEACH,1
90402,SANTA MONICA,1
94010,BURLINGAME,1
94062,REDWOOD CITY,1
94114,SAN FRANCISCO,1
94117,SAN FRANCISCO,1
95472,SEBASTOPOL,1
98052,REDMOND,1
