lastname,contributor_zip5,sumcontribs,city,state,county,state_fips,county_fips,latitude,longitude,fips,num_returns,total_agi_value,avg_agi,avg_agi_rank
Booker,10023,77002.28,NEW YORK,NY,NEW YORK,36,061,40.773726,-73.980067,36061,34070,11766656,345367.067801585,125
Booker,10024,70634.98,NEW YORK,NY,NEW YORK,36,061,40.797364,-73.97785,36061,30410,9984610,328333.1141072016,147
Booker,10011,62917.28,NEW YORK,NY,NEW YORK,36,061,40.74406,-74.004592,36061,29920,7972017,266444.4184491979,232
Booker,07042,59020,MONTCLAIR,NJ,ESSEX,34,013,40.811988,-74.215975,34013,13340,1898258,142298.20089955023,947
Booker,10019,55950,NEW YORK,NY,NEW YORK,36,061,40.767192,-73.99181,36061,25110,6507210,259148.14814814815,254
Booker,10065,50177.28,NEW YORK,NY,NEW YORK,36,061,40.764253,-73.962466,36061,15780,6643846,421029.5310519645,85
Booker,10013,49850,NEW YORK,NY,NEW YORK,36,061,40.720921,-74.008878,36061,14940,6301582,421792.63721552875,84
Booker,10028,45970,NEW YORK,NY,NEW YORK,36,061,40.776127,-73.952597,36061,25100,9061775,361026.8924302789,108
Booker,94027,45250,ATHERTON,CA,SAN MATEO,06,081,37.450128,-122.205016,06081,3240,4172435,1287788.5802469137,2
Booker,11210,44800,BROOKLYN,NY,KINGS,36,047,40.625556,-73.945896,36047,29470,2183404,74089.03970139124,4884
Buttigieg,46530,46328.44,GRANGER,IN,ST JOSEPH,18,141,41.733676,-86.122866,18141,14500,1718836,118540.41379310345,1456
Buttigieg,10011,30419.09,NEW YORK,NY,NEW YORK,36,061,40.74406,-74.004592,36061,29920,7972017,266444.4184491979,232
Buttigieg,10023,29916.13,NEW YORK,NY,NEW YORK,36,061,40.773726,-73.980067,36061,34070,11766656,345367.067801585,125
Buttigieg,20009,26368.86,WASHINGTON,DC,DISTRICT OF COLUMBIA,11,001,38.920392,-77.038564,11001,31590,3120759,98789.45868945868,2326
Buttigieg,10024,25466.63,NEW YORK,NY,NEW YORK,36,061,40.797364,-73.97785,36061,30410,9984610,328333.1141072016,147
Buttigieg,60611,22550,CHICAGO,IL,COOK,17,031,41.8957,-87.613564,17031,19680,6189956,314530.2845528455,162
Buttigieg,10013,20975,NEW YORK,NY,NEW YORK,36,061,40.720921,-74.008878,36061,14940,6301582,421792.63721552875,84
Buttigieg,46617,20546.56,SOUTH BEND,IN,ST JOSEPH,18,141,41.6833,-86.239326,18141,4450,343602,77213.93258426966,4347
Buttigieg,90069,19225,WEST HOLLYWOOD,CA,LOS ANGELES,06,037,34.094175,-118.38091,06037,13450,2188298,162698.73605947956,693
Buttigieg,10014,17939.39,NEW YORK,NY,NEW YORK,36,061,40.734332,-74.010112,36061,18660,5552653,297569.8285101822,182
Castro,78504,35100,MCALLEN,TX,HIDALGO,48,215,26.280129,-98.238373,48215,21520,1449809,67370.30669144982,6402
Castro,78230,28900.53,SAN ANTONIO,TX,BEXAR,48,029,29.542768,-98.55961,48029,20620,1716366,83237.92434529582,3563
Castro,78212,28872,SAN ANTONIO,TX,BEXAR,48,029,29.462321,-98.48671,48029,12380,1142197,92261.47011308563,2740
Castro,75230,22400,DALLAS,TX,DALLAS,48,113,32.902156,-96.794543,48113,13550,3605658,266100.221402214,233
Castro,78209,21800,SAN ANTONIO,TX,BEXAR,48,029,29.48562,-98.458175,48029,19080,2925975,153352.98742138367,794
Castro,78701,18623.88,AUSTIN,TX,TRAVIS,48,453,30.2672,-97.742306,48453,5430,1313160,241834.2541436464,284
