contributor_zip5,Sanders,Warren,winner,advantage,city,state,county,state_fips,county_fips,latitude,longitude
94110,31818.15,53151.09,Warren,21332.939999999995,SAN FRANCISCO,CA,SAN FRANCISCO,06,075,37.748676,-122.415813
11215,23706.39,38128.77,Warren,14422.379999999997,BROOKLYN,NY,KINGS,36,047,40.66509,-73.980306
10011,19045.51,41488.81,Warren,22443.3,NEW YORK,NY,NEW YORK,36,061,40.74406,-74.004592
10025,18890.98,38391.2,Warren,19500.219999999998,NEW YORK,NY,NEW YORK,36,061,40.798345,-73.963158
98052,18171.86,6514.38,Sanders,11657.48,REDMOND,WA,KING,53,033,47.680496,-122.120938
14850,18154.25,14526.24,Sanders,3628.01,ITHACA,NY,TOMPKINS,36,109,42.406709,-76.518425
11201,18083.14,27961.51,Warren,9878.369999999999,BROOKLYN,NY,KINGS,36,047,40.694599,-73.990638
95472,17942.31,11361,Sanders,6581.310000000001,SEBASTOPOL,CA,SONOMA,06,097,38.401691,-122.87424
10024,17893.36,41716.89,Warren,23823.53,NEW YORK,NY,NEW YORK,36,061,40.797364,-73.97785
94114,17761.98,28584.79,Warren,10822.810000000001,SAN FRANCISCO,CA,SAN FRANCISCO,06,075,37.758229,-122.439512
10003,17589.36,17935.98,Warren,346.619999999999,NEW YORK,NY,NEW YORK,36,061,40.731392,-73.9884
94117,17281.96,31672.55,Warren,14390.59,SAN FRANCISCO,CA,SAN FRANCISCO,06,075,37.769165,-122.442497
11238,17016.09,30418.81,Warren,13402.720000000001,BROOKLYN,NY,KINGS,36,047,40.67616,-73.964404
90027,16561.55,13400.54,Sanders,3161.0099999999984,LOS ANGELES,CA,LOS ANGELES,06,037,34.128046,-118.289065
98107,15740.86,10964.89,Sanders,4775.970000000001,SEATTLE,WA,KING,53,033,47.664823,-122.383784
90026,15459.91,9397.55,Sanders,6062.360000000001,LOS ANGELES,CA,LOS ANGELES,06,037,34.076068,-118.262339
94611,15354.09,21595.35,Warren,6241.259999999998,OAKLAND,CA,ALAMEDA,06,001,37.83611,-122.219253
94025,15296.16,17435.5,Warren,2139.34,MENLO PARK,CA,SAN MATEO,06,081,37.459034,-122.186055
05401,15188.83,4544.58,Sanders,10644.25,BURLINGTON,VT,CHITTENDEN,50,007,44.484133,-73.247857
98103,15090.9,26425.16,Warren,11334.26,SEATTLE,WA,KING,53,033,47.670294,-122.348306
02139,14743.85,29372.46,Warren,14628.609999999999,CAMBRIDGE,MA,MIDDLESEX,25,017,42.364397,-71.101196
10019,13680.11,11739.96,Sanders,1940.1500000000015,NEW YORK,NY,NEW YORK,36,061,40.767192,-73.99181
90039,13498.12,7130.26,Sanders,6367.860000000001,LOS ANGELES,CA,LOS ANGELES,06,037,34.12059,-118.255117
11217,13237.86,30619.75,Warren,17381.89,BROOKLYN,NY,KINGS,36,047,40.681293,-73.980954
94607,13159.14,12210.52,Sanders,948.619999999999,OAKLAND,CA,ALAMEDA,06,001,37.810945,-122.3007
94703,13130.92,14834.67,Warren,1703.75,BERKELEY,CA,ALAMEDA,06,001,37.865733,-122.274618
02144,13001.09,18884.04,Warren,5882.950000000001,SOMERVILLE,MA,MIDDLESEX,25,017,42.402311,-71.12037
95616,12972.93,13348.78,Warren,375.85000000000036,DAVIS,CA,YOLO,06,113,38.562963,-121.81601
10009,12714.11,4511.65,Sanders,8202.460000000001,NEW YORK,NY,NEW YORK,36,061,40.72698,-73.980115
11211,12190.11,9680.47,Sanders,2509.6400000000012,BROOKLYN,NY,KINGS,36,047,40.711666,-73.946422
11222,12187.23,8363.97,Sanders,3823.26,BROOKLYN,NY,KINGS,36,047,40.72832,-73.944758
94107,12134.16,15343.26,Warren,3209.1000000000004,SAN FRANCISCO,CA,SAN FRANCISCO,06,075,37.76785,-122.392861
94122,12133.48,11663.86,Sanders,469.619999999999,SAN FRANCISCO,CA,SAN FRANCISCO,06,075,37.761959,-122.483125
60647,12080.97,9392.52,Sanders,2688.449999999999,CHICAGO,IL,COOK,17,031,41.921054,-87.702362
94306,11993.66,21298.73,Warren,9305.07,PALO ALTO,CA,SANTA CLARA,06,085,37.411846,-122.1295
90034,11920.77,6553.13,Sanders,5367.64,LOS ANGELES,CA,LOS ANGELES,06,037,34.029334,-118.399406
95060,11690.88,11373.69,Sanders,317.1899999999987,SANTA CRUZ,CA,SANTA CRUZ,06,087,37.068968,-122.156861
98102,11529.49,14918.45,Warren,3388.960000000001,SEATTLE,WA,KING,53,033,47.635749,-122.324362
90049,11391.76,15718.79,Warren,4327.030000000001,LOS ANGELES,CA,LOS ANGELES,06,037,34.086348,-118.48826
97214,11302.15,5797.05,Sanders,5505.0999999999995,PORTLAND,OR,MULTNOMAH,41,051,45.513936,-122.644123
90046,11289.26,7896.56,Sanders,3392.7,LOS ANGELES,CA,LOS ANGELES,06,037,34.10727,-118.36889
90405,11285.83,8081.75,Sanders,3204.08,SANTA MONICA,CA,LOS ANGELES,06,037,34.011335,-118.468458
98368,11234.13,7166.72,Sanders,4067.409999999999,PORT TOWNSEND,WA,JEFFERSON,53,031,48.034826,-122.84934
10013,11192.27,10475.44,Sanders,716.8299999999999,NEW YORK,NY,NEW YORK,36,061,40.720921,-74.008878
90291,11105.25,19956.57,Warren,8851.32,VENICE,CA,LOS ANGELES,06,037,33.994162,-118.46371
94118,10949.87,15021.72,Warren,4071.8499999999985,SAN FRANCISCO,CA,SAN FRANCISCO,06,075,37.782355,-122.460795
98115,10891.92,22412.65,Warren,11520.730000000001,SEATTLE,WA,KING,53,033,47.683612,-122.27802200000001
94043,10849.52,15449.29,Warren,4599.77,MOUNTAIN VIEW,CA,SANTA CLARA,06,085,37.419156,-122.075413
91436,10814.33,8047.47,Sanders,2766.8599999999997,ENCINO,CA,LOS ANGELES,06,037,34.153648,-118.497744
77479,10789.06,2756.08,Sanders,8032.98,SUGAR LAND,TX,FORT BEND,48,157,29.557763,-95.633612
91001,10752.48,7211.56,Sanders,3540.919999999999,ALTADENA,CA,LOS ANGELES,06,037,34.196307,-118.135582
98118,10708.31,9004.43,Sanders,1703.8799999999992,SEATTLE,WA,KING,53,033,47.541963,-122.267649
07302,10646.7,9444.7,Sanders,1202,JERSEY CITY,NJ,HUDSON,34,017,40.720101,-74.043134
80304,10529.07,4769.35,Sanders,5759.719999999999,BOULDER,CO,BOULDER,08,013,40.045179,-105.291958
94609,10479.26,6948.1,Sanders,3531.16,OAKLAND,CA,ALAMEDA,06,001,37.834784,-122.263528
97202,10239.66,9187.2,Sanders,1052.4599999999991,PORTLAND,OR,MULTNOMAH,41,051,45.480312,-122.645115
94608,10123.56,10593.34,Warren,469.78000000000065,EMERYVILLE,CA,ALAMEDA,06,001,37.83466,-122.291944
11206,10121.03,4501.52,Sanders,5619.51,BROOKLYN,NY,KINGS,36,047,40.702353,-73.942541
94612,10018.62,3932.3,Sanders,6086.320000000001,OAKLAND,CA,ALAMEDA,06,001,37.808754,-122.267528
48103,9940.28,11162.04,Warren,1221.7600000000002,ANN ARBOR,MI,WASHTENAW,26,161,42.269394,-83.851822
08540,9837.01,16391.03,Warren,6554.019999999999,PRINCETON,NJ,MERCER,34,021,40.378246,-74.662206
01742,9813.58,25784.36,Warren,15970.78,CONCORD,MA,MIDDLESEX,25,017,42.460612,-71.364231
60657,9805.42,8022.34,Sanders,1783.08,CHICAGO,IL,COOK,17,031,41.941427,-87.654458
94709,9801.6,3836.7,Sanders,5964.9000000000005,BERKELEY,CA,ALAMEDA,06,001,37.879862,-122.264766
90064,9698.9,14210.74,Warren,4511.84,LOS ANGELES,CA,LOS ANGELES,06,037,34.037084,-118.427894
94103,9685.29,11132.13,Warren,1446.8399999999983,SAN FRANCISCO,CA,SAN FRANCISCO,06,075,37.775504,-122.41292
94708,9622.4,13816.01,Warren,4193.610000000001,BERKELEY,CA,ALAMEDA,06,001,37.900138,-122.261764
94530,9615.3,8738.56,Sanders,876.7399999999998,EL CERRITO,CA,CONTRA COSTA,06,013,37.921091,-122.289012
10027,9576.44,11440.33,Warren,1863.8899999999994,NEW YORK,NY,NEW YORK,36,061,40.812908,-73.953194
01002,9490.86,8848.85,Sanders,642.0100000000002,AMHERST,MA,HAMPSHIRE,25,015,42.372901,-72.450902
10014,9455.1,19484.13,Warren,10029.03,NEW YORK,NY,NEW YORK,36,061,40.734332,-74.010112
94303,9413,7176.4,Sanders,2236.6000000000004,PALO ALTO,CA,SANTA CLARA,06,085,37.45779,-122.122538
98122,9408.5,13426.73,Warren,4018.2299999999996,SEATTLE,WA,KING,53,033,47.613527,-122.297335
90403,9401.71,6688.78,Sanders,2712.9299999999994,SANTA MONICA,CA,LOS ANGELES,06,037,34.030517,-118.490407
94619,9353.36,5852.27,Sanders,3501.09,OAKLAND,CA,ALAMEDA,06,001,37.788034,-122.16949
20003,9261.01,15909.78,Warren,6648.77,WASHINGTON,DC,DISTRICT OF COLUMBIA,11,001,38.877752,-76.986546
94618,9187,23158.39,Warren,13971.39,OAKLAND,CA,ALAMEDA,06,001,37.844984,-122.238434
98110,9141.7,18579.82,Warren,9438.119999999999,BAINBRIDGE ISLAND,WA,KITSAP,53,035,47.647614,-122.535452
94501,9079.82,12918.7,Warren,3838.880000000001,ALAMEDA,CA,ALAMEDA,06,001,37.773545,-122.278487
11216,9007.73,5353.35,Sanders,3654.379999999999,BROOKLYN,NY,KINGS,36,047,40.680972,-73.947638
92024,8812.11,4692.42,Sanders,4119.6900000000005,ENCINITAS,CA,SAN DIEGO,06,073,33.054512,-117.249765
94702,8680.07,9162.89,Warren,482.8199999999997,BERKELEY,CA,ALAMEDA,06,001,37.864164,-122.286234
53703,8668.05,3616.9,Sanders,5051.15,MADISON,WI,DANE,55,025,43.0707,-89.37565
94121,8595.32,12427.8,Warren,3832.4799999999996,SAN FRANCISCO,CA,SAN FRANCISCO,06,075,37.780871,-122.495285
94086,8570.9,6216.34,Sanders,2354.5599999999995,SUNNYVALE,CA,SANTA CLARA,06,085,37.36965,-122.02421
95125,8567.76,9080.89,Warren,513.1299999999992,SAN JOSE,CA,SANTA CLARA,06,085,37.297218,-121.895102
10002,8557.16,7292.14,Sanders,1265.0199999999995,NEW YORK,NY,NEW YORK,36,061,40.722296,-73.985506
95014,8548.65,6318.89,Sanders,2229.7599999999993,CUPERTINO,CA,SANTA CLARA,06,085,37.294256,-122.094441
11231,8538.08,22174.46,Warren,13636.38,BROOKLYN,NY,KINGS,36,047,40.676516,-74.004016
02130,8513.2,24874.87,Warren,16361.669999999998,JAMAICA PLAIN,MA,SUFFOLK,25,025,42.310509,-71.117394
