contributor_zip5,city,n
10024,NEW YORK,5
10023,NEW YORK,4
10011,NEW YORK,3
10003,NEW YORK,2
10021,NEW YORK,2
10025,NEW YORK,2
11201,BROOKLYN,2
11215,BROOKLYN,2
90049,LOS ANGELES,2
94110,SAN FRANCISCO,2
94114,SAN FRANCISCO,2
02138,CAMBRIDGE,1
02139,CAMBRIDGE,1
10013,NEW YORK,1
10022,NEW YORK,1
10128,NEW YORK,1
19103,PHILADELPHIA,1
19807,WILMINGTON,1
20009,WASHINGTON,1
20815,CHEVY CHASE,1
20854,POTOMAC,1
60614,CHICAGO,1
90024,LOS ANGELES,1
90067,LOS ANGELES,1
90069,WEST HOLLYWOOD,1
90210,BEVERLY HILLS,1
90272,PACIFIC PALISADES,1
90402,SANTA MONICA,1
94115,SAN FRANCISCO,1
94117,SAN FRANCISCO,1
94118,SAN FRANCISCO,1
94611,OAKLAND,1
98103,SEATTLE,1
